course_title,course_code,prereq_courses,same_subjects,course_desc
6.302 Feedback System Design,6.302,"['8.02|8.021|8.022', '2.087', '18.03']",[],"Learn-by-design introduction to modeling and control of discrete- and continuous-time systems, from classical analytical techniques to modern computational strategies. Topics include modeling (difference/differential equations, natural frequencies, transfer functions, frequency response, impedances);  performance metrics (stability, tracking, disturbance rejection); classical design (root-locus, PID, lead-lag); state-space (ABCD matrices, pole placement, LQR, observers); and data-driven design (regression,identification, model-based control). Students apply concepts introduced in lectures and online assignments to design labs that include discussion-based checkoffs. In lab, students use circuits, sensors, actuators, and a microcontroller to design, build and test controllers for, e.g., propeller-actuated positioners, magnetic levitators, and two-wheel balancers. Students taking graduate version complete additional assignments. "
6.320 Feedback System Design,6.320,"['8.02|8.021|8.022', '2.087', '18.03']",[],"Learn-by-design introduction to modeling and control of discrete- and continuous-time systems, from classical analytical techniques to modern computational strategies. Topics include modeling (difference/differential equations, natural frequencies, transfer functions, frequency response, impedances);  performance metrics (stability, tracking, disturbance rejection); classical design (root-locus, PID, lead-lag); state-space (ABCD matrices, pole placement, LQR, observers); and data-driven design (regression,identification, model-based control). Students apply concepts introduced in lectures and online assignments to design labs that include discussion-based checkoffs. In lab, students use circuits, sensors, actuators, and a microcontroller to design, build and test controllers for, e.g., propeller-actuated positioners, magnetic levitators, and two-wheel balancers. Students taking graduate version complete additional assignments. "
6.321 Solid-State Circuits,6.321,['6.002'],[],"Fosters deep understanding and intuition that is crucial in innovating analog circuits and optimizing the whole system in bipolar junction transistor (BJT) and metal oxide semiconductor (MOS) technologies. Covers both theory and real-world applications of basic amplifier structures, operational amplifiers, temperature sensors, bandgap references, and translinear circuits. Provides practical experience through various lab exercises, including a broadband amplifier design and characterization. Students taking graduate version complete additional assignments. "
6.330 Power Electronics Laboratory,6.330,[],[]," Hands-on introduction to the design and construction of power electronic circuits and motor drives. Laboratory exercises (shared with 6.131 and 6.1311) include the construction of drive circuitry for an electric go-cart, flash strobes, computer power supplies, three-phase inverters for AC motors, and resonant drives for lamp ballasts and induction heating. Basic electric machines introduced including DC, induction, and permanent magnet motors, with drive considerations. Students taking graduate version complete additional assignments and an extended final project. "
"6.332, 6.333 Advanced Topics in Circuits","6.332, 6.333",[],[],Advanced study of topics in circuits. Specific focus varies from year to year. Consult department for details. 
6.334 Power Electronics,6.334,['6.012'],[],"The application of electronics to energy conversion and control. Modeling, analysis, and control techniques. Design of power circuits including inverters, rectifiers, and dc-dc converters. Analysis and design of magnetic components and filters. Characteristics of power semiconductor devices. Numerous application examples, such as motion control systems, power supplies, and radio-frequency power amplifiers. "
6.335[J] Fast Methods for Partial Differential and Integral Equations,6.335[J],"['6.336', '16.920', '18.085', '18.335']",['18.336[J]'],See description under subject 18.336[J]. 
6.336[J] Introduction to Modeling and Simulation,6.336[J],"['18.03', '18.06']","['2.096[J]', '16.910[J]']","Introduction to computational techniques for modeling and simulation of a variety of large and complex engineering, science, and socio-economical systems. Prepares students for practical use and development of computational engineering in their own research and future work. Topics include mathematical formulations (e.g., automatic assembly of constitutive and conservation principles); linear system solvers (sparse and iterative); nonlinear solvers (Newton and homotopy); ordinary, time-periodic and partial differential equation solvers; and model order reduction. Students develop their own models and simulators for self-proposed applications, with an emphasis on creativity, teamwork, and communication. Prior basic linear algebra and programming (e.g., MATLAB or Python) helpful. "
6.337[J] Introduction to Numerical Methods,6.337[J],"['18.06', '18.700', '18.701']",['18.335[J]'],See description under subject 18.335[J]. 
6.338[J] Parallel Computing and Scientific Machine Learning,6.338[J],"['18.06', '18.700', '18.701']",['18.337[J]'],See description under subject 18.337[J]. 
6.339[J] Numerical Methods for Partial Differential Equations,6.339[J],"['18.03', '18.06']","['2.097[J]', '16.920[J]']",See description under subject 16.920[J]. 
6.341 Discrete-Time Signal Processing,6.341,['6.011'],[],"Representation, analysis, and design of discrete time signals and systems. Decimation, interpolation, and sampling rate conversion. Noise shaping. Flowgraph structures for DT systems. IIR and FIR filter design techniques. Parametric signal modeling, linear prediction, and lattice filters. Discrete Fourier transform, DFT computation, and FFT algorithms. Spectral analysis, time-frequency analysis, relation to filter banks. Multirate signal processing, perfect reconstruction filter banks, and connection to wavelets. "
6.344 Digital Image Processing,6.344,"['6.003', '6.431']",[],"Digital images as two-dimensional signals. Digital signal processing theories used for digital image processing, including one-dimensional and two-dimensional convolution, Fourier transform, discrete Fourier transform, and discrete cosine transform. Image processing basics. Image enhancement. Image restoration. Image coding and compression. Video processing including video coding and compression. Additional topics in image and video processing. "
6.345[J] Spoken Language Processing,6.345[J],"['6.011', '6.036']",['HST.728[J]'],"Introduces the rapidly developing field of spoken language processing including automatic speech recognition. Topics include acoustic theory of speech production, acoustic-phonetics, signal representation, acoustic and language modeling, search, hidden Markov modeling, neural networks models, end-to-end deep learning models, and other machine learning techniques applied to speech and language processing topics. Lecture material intersperses theory with practice. Includes problem sets, laboratory exercises, and opened-ended term project. "
"6.347, 6.348 Advanced Topics in Signals and Systems","6.347, 6.348",[],[],Advanced study of topics in signals and systems. Specific focus varies from year to year. 
6.374 Analysis and Design of Digital Integrated Circuits,6.374,"['6.004', '6.012']",[],"Device and circuit level optimization of digital building blocks. MOS device models including Deep Sub-Micron effects. Circuit design styles for logic, arithmetic, and sequential blocks. Estimation and minimization of energy consumption. Interconnect models and parasitics, device sizing and logical effort, timing issues (clock skew and jitter), and active clock distribution techniques. Memory architectures, circuits (sense amplifiers), and devices. Testing of integrated circuits. Extensive custom and standard cell layout and simulation in design projects and software labs. "
6.375 Complex Digital Systems Design,6.375,['6.004'],[],"Introduction to the design and implementation of large-scale digital systems using hardware description languages and high-level synthesis tools in conjunction with standard commercial electronic design automation (EDA) tools. Emphasizes modular and robust designs, reusable modules, correctness by construction, architectural exploration, meeting area and timing constraints, and developing functional field-programmable gate array (FPGA) prototypes. Extensive use of CAD tools in weekly labs serve as preparation for a multi-person design project on multi-million gate FPGAs. Enrollment may be limited."
6.401 Introduction to Statistical Data Analysis,6.401,"['6.0001', '6.008', '6.041', '18.600']",[],"Introduction to the central concepts and methods of data science with an emphasis on statistical grounding and modern computational capabilities. Covers principles involved in extracting information from data for the purpose of making predictions or decisions, including data exploration, feature selection, model fitting, and performance assessment. Topics include learning of distributions, hypothesis testing (including multiple comparison procedures), linear and nonlinear regression and prediction, classification, time series, uncertainty quantification, model validation, causal inference, optimization, and decisions. Computational case studies and projects drawn from applications in finance, sports, engineering, and machine learning life sciences. Students taking graduate version complete additional assignments. Recommended prerequisite: 18.06. "
6.402 Modeling with Machine Learning: from Algorithms to Applications,6.402,"['18.02|18.02A|18.022|18.024', '6.0001', '1.024', '2.161', '3.100', '22.042']",[],"Focuses on modeling with machine learning methods with an eye towards applications in engineering and sciences. Introduction to modern machine learning methods, from supervised to unsupervised models, with an emphasis on newer neural approaches. Emphasis on the understanding of how and why the methods work from the point of view of modeling, and when they are applicable. Using concrete examples, covers formulation of machine learning tasks, adapting and extending methods to given problems, and how the methods can and should be evaluated. Students taking graduate version complete additional assignments. Students taking graduate version complete additional assignments. Students cannot receive credit without simultaneous completion of a 6-unit disciplinary module. Enrollment may be limited."
"6.419[J] Statistics, Computation and Applications",6.419[J],"['2.087', '6.0002', '6.01', '18.03', '18.06', '6.008', '6.041', '14.30', '16.09', '18.05']",['IDS.012[J]'],"See description under subject IDS.012[J]. Enrollment limited; priority to Statistics and Data Science minors, and to juniors and seniors."
6.431 Introduction to Probability,6.431,['18.02|18.02A|18.022|18.024'],[],"An introduction to probability theory, the modeling and analysis of probabilistic systems, and elements of statistical inference. Probabilistic models, conditional probability. Discrete and continuous random variables. Expectation and conditional expectation, and further topics about random variables. Limit Theorems. Bayesian estimation and hypothesis testing. Elements of classical statistical inference. Bernoulli and Poisson processes. Markov chains. Students taking graduate version complete additional assignments. "
6.434[J] Statistics for Engineers and Scientists,6.434[J],"['18.02|18.02A|18.022|18.024', '6.431', '18.06']",['16.391[J]'],"Rigorous introduction to fundamentals of statistics motivated by engineering applications. Topics include exponential families, order statistics, sufficient statistics, estimation theory, hypothesis testing, measures of performance, notions of optimality, analysis of variance (ANOVA), simple linear regression, and selected topics. "
6.435 Bayesian Modeling and Inference,6.435,"['6.436', '6.867']",[],"Covers Bayesian modeling and inference at an advanced graduate level. Topics include de Finetti's theorem, decision theory, approximate inference (modern approaches and analysis of Monte Carlo, variational inference, etc.), hierarchical modeling, (continuous and discrete) nonparametric Bayesian approaches, sensitivity and robustness, and evaluation. "
6.436[J] Fundamentals of Probability,6.436[J],['18.02|18.02A|18.022|18.024'],['15.085[J]'],"Introduction to probability theory. Probability spaces and measures. Discrete and continuous random variables. Conditioning and independence. Multivariate normal distribution. Abstract integration, expectation, and related convergence results. Moment generating and characteristic functions. Bernoulli and Poisson process. Finite-state Markov chains. Convergence notions and their relations. Limit theorems. Familiarity with elementary probability and real analysis is desirable. "
6.437 Inference and Information,6.437,"['6.008', '6.436']",[],"Introduction to principles of Bayesian and non-Bayesian statistical inference. Hypothesis testing and parameter estimation, sufficient statistics; exponential families. EM agorithm. Log-loss inference criterion, entropy and model capacity. Kullback-Leibler distance and information geometry. Asymptotic analysis and large deviations theory. Model order estimation; nonparametric statistics. Computational issues and approximation techniques; Monte Carlo methods. Selected topics such as universal inference and learning, and universal features and neural networks. "
6.438 Algorithms for Inference,6.438,"['18.06', '6.008', '6.436']",[],"Introduction to statistical inference with probabilistic graphical models. Directed and undirected graphical models, and factor graphs, over discrete and Gaussian distributions; hidden Markov models, linear dynamical systems. Sum-product and junction tree algorithms; forward-backward algorithm, Kalman filtering and smoothing. Min-sum and Viterbi algorithms. Variational methods, mean-field theory, and loopy belief propagation. Particle methods and filtering. Building graphical models from data, including parameter estimation and structure learning; Baum-Welch and Chow-Liu algorithms. Selected special topics. "
"6.439[J] Statistics, Computation and Applications",6.439[J],"['2.087', '6.0002', '6.01', '18.03', '18.06', '6.008', '6.041', '14.30', '16.09', '18.05']",['IDS.131[J]'],See description under subject IDS.131[J]. Limited enrollment; priority to Statistics and Data Science minors and to juniors and seniors.
6.440 Essential Coding Theory,6.440,"['6.006', '6.045']",[],"Introduces the theory of error-correcting codes. Focuses on the essential results in the area, taught from first principles. Special focus on results of asymptotic or algorithmic significance. Principal topics include construction and existence results for error-correcting codes; limitations on the combinatorial performance of error-correcting codes; decoding algorithms; and applications to other areas of mathematics and computer science. "
6.441 Information Theory,6.441,[],[],"Mathematical definitions of information measures, convexity, continuity, and variational properties. Lossless source coding; variable-length and block compression; Slepian-Wolf theorem; ergodic sources and Shannon-McMillan theorem. Hypothesis testing, large deviations and I-projection. Fundamental limits of block coding for noisy channels: capacity, dispersion, finite blocklength bounds. Coding with feedback. Joint source-channel problem. Rate-distortion theory, vector quantizers. Advanced topics include Gelfand-Pinsker problem, multiple access channels, broadcast channels (depending on available time). "
6.442 Optical Networks,6.442,['6.042'],[],"Introduces the fundamental and practical aspects of optical network technology, architecture, design and analysis tools and techniques. The treatment of optical networks are from the architecture and system design points of view. Optical hardware technologies are introduced and characterized as fundamental network building blocks on which optical transmission systems and network architectures are based. Beyond the Physical Layer, the higher network layers (Media Access Control, Network and Transport Layers) are treated together as integral parts of network design. Performance metrics, analysis and optimization techniques are developed to help guide the creation of high performance complex optical networks. "
6.443[J] Quantum Information Science,6.443[J],['18.435'],"['8.371[J]', '18.436[J]']",See description under subject 8.371[J]. 
6.450 Principles of Digital Communication,6.450,"['6.003', '6.041']",[],Communication sources and channels; data compression; entropy and the AEP; Lempel-Ziv universal coding; scalar and vector quantization; L2 waveforms; signal space and its representation by sampling and other expansions; aliasing; the Nyquist criterion; PAM and QAM modulation; Gaussian noise and random processes; detection and optimal receivers; fading channels and wireless communication; introduction to communication system design. Prior coursework in basic probability and linear system theory recommended. 
6.452 Principles of Wireless Communication,6.452,['6.450'],[],"Introduction to design, analysis, and fundamental limits of wireless transmission systems. Wireless channel and system models; fading and diversity; resource management and power control; multiple-antenna and MIMO systems; space-time codes and decoding algorithms; multiple-access techniques and multiuser detection; broadcast codes and precoding; cellular and ad-hoc network topologies; OFDM and ultrawideband systems; architectural issues. "
6.454 Graduate Seminar in Area I,6.454,[],[],"Student-run advanced graduate seminar with focus on topics in communications, control, signal processing, optimization. Participants give presentations outside of their own research to expose colleagues to topics not covered in the usual curriculum. Recent topics have included compressed sensing, MDL principle, communication complexity, linear programming decoding, biology in EECS, distributed hypothesis testing, algorithms for random satisfaction problems, and cryptogaphy. Open to advanced students from all areas of EECS. Limited to 12."
6.456 Array Processing,6.456,"['6.341', '2.687', '6.011', '18.06']",[],"Adaptive and non-adaptive processing of signals received at arrays of sensors. Deterministic beamforming, space-time random processes, optimal and adaptive algorithms, and the sensitivity of algorithm performance to modeling errors and limited data. Methods of improving the robustness of algorithms to modeling errors and limited data are derived. Advanced topics include an introduction to matched field processing and physics-based methods of estimating signal statistics. Homework exercises providing the opportunity to implement and analyze the performance of algorithms in processing data supplied during the course. "
6.481 Introduction to Statistical Data Analysis,6.481,"['6.0001', '6.008', '6.041', '18.600']",[],"Introduction to the central concepts and methods of data science with an emphasis on statistical grounding and modern computational capabilities. Covers principles involved in extracting information from data for the purpose of making predictions or decisions, including data exploration, feature selection, model fitting, and performance assessment. Topics include learning of distributions, hypothesis testing (including multiple comparison procedures), linear and nonlinear regression and prediction, classification, time series, uncertainty quantification, model validation, causal inference, optimization, and decisions. Computational case studies and projects drawn from applications in finance, sports, engineering, and machine learning life sciences. Students taking graduate version complete additional assignments. Recommended prerequisite: 18.06. "
6.482 Modeling with Machine Learning: from Algorithms to Applications,6.482,"['18.02|18.02A|18.022|18.024', '6.0001', '1.224', '2.169', '3.322', '22.42']",[],"Focuses on modeling with machine learning methods with an eye towards applications in engineering and sciences. Introduction to modern machine learning methods, from supervised to unsupervised models, with an emphasis on newer neural approaches. Emphasis on the understanding of how and why the methods work from the point of view of modeling, and when they are applicable. Using concrete examples, covers formulation of machine learning tasks, adapting and extending methods to given problems, and how the methods can and should be evaluated. Students taking graduate version complete additional assignments. Students cannot receive credit without simultaneous completion of a 6-unit disciplinary module. Enrollment may be limited."
6.484 Sensorimotor Learning (New),6.484,"['6.036', '6.867']",[],"Provides an in-depth view of the state-of-the-art learning methods for control and the know-how of applying these techniques. Topics span reinforcement learning, self-supervised learning, imitation learning, model-based learning, and advanced deep learning architectures, and specific machine learning challenges unique to building sensorimotor systems. Discusses how to identify if learning-based control can help solve a particular problem, how to formulate the problem in the learning framework, and what algorithm to use. Applications of algorithms in robotics, logistics, recommendation systems, playing games, and other control domains covered. Instruction involves two lectures a week, practical experience through exercises, discussion of current research directions, and a group project. "
6.485 Optimization for Machine Learning (New),6.485,"['6.036', '18.06']",[],"Optimization algorithms are central to all of machine learning. Covers a variety of topics in optimization, with a focus on non-convex optimization. Focuses on both classical and cutting-edge results, including foundational topics grounded in convexity, complexity theory of first-order methods, stochastic optimization, as well as recent progress in non-Euclidean optimization, deep learning, and beyond. Prepares students to appreciate a broad spectrum of ideas in OPTML, learning to be not only informed users but also gaining exposure to research questions in the area. "
6.521[J] Cellular Neurophysiology and Computing,6.521[J],"['8.02|8.021|8.022', '18.03', '2.005', '6.002', '6.003', '10.301', '20.110']","['2.794[J]', '9.021[J]', '20.470[J]', 'HST.541[J]']","Integrated overview of the biophysics of cells from prokaryotes to neurons, with a focus on mass transport and electrical signal generation across cell membrane. First third of course focuses on mass transport through membranes: diffusion, osmosis, chemically mediated, and active transport. Second third focuses on electrical properties of cells: ion transport to action potential generation and propagation in electrically excitable cells. Synaptic transmission. Electrical properties interpreted via kinetic and molecular properties of single voltage-gated ion channels. Final third focuses on biophysics of synaptic transmission and introduction to neural computing. Laboratory and computer exercises illustrate the concepts. Students taking graduate version complete different assignments. "
6.522[J] Quantitative Physiology: Organ Transport Systems,6.522[J],"['6.021', '2.006', '6.013']",['2.796[J]'],"Application of the principles of energy and mass flow to major human organ systems. Anatomical, physiological and clinical features of the cardiovascular, respiratory and renal systems. Mechanisms of regulation and homeostasis. Systems, features and devices that are most illuminated by the methods of physical sciences and engineering models. Required laboratory work includes animal studies. Students taking graduate version complete additional assignments. "
"6.524[J] Molecular, Cellular, and Tissue Biomechanics",6.524[J],"['7.012|7.013|7.014|7.015|7.016', '2.002', '2.006', '6.013', '10.301', '10.302']","['2.798[J]', '3.971[J]', '10.537[J]', '20.410[J]']",See description under subject 20.410[J]. 
6.525[J] Medical Device Design,6.525[J],"['2.008', '6.101', '6.111', '6.115', '22.071']","['2.75[J]', 'HST.552[J]']",See description under subject 2.75[J]. Enrollment limited.
"6.542[J] Laboratory on the Physiology, Acoustics, and Perception of Speech",6.542[J],[],"['24.966[J]', 'HST.712[J]']","Experimental investigations of speech processes. Topics include waveform and spectral analysis of speech; identification and annotation of acoustic speech cues; perception and discrimination of speech-like sounds; speech prosody; foundational concepts for speech recognition and analysis; speech development; atypical speech; and others. Recommended prerequisite: 6.003, 18.03, or 24.900. "
"6.544, 6.545 Advanced Topics in BioEECS","6.544, 6.545",[],[],Advanced study of topics in BioEECS. Specific focus varies from year to year. Consult department for details. 
6.552[J] Signal Processing by the Auditory System: Perception,6.552[J],"['6.003', '6.431']",['HST.716[J]'],"Studies information processing performance of the human auditory system in relation to current physiological knowledge. Examines mathematical models for the quantification of auditory-based behavior and the relation between behavior and peripheral physiology, reflecting the tono-topic organization and stochastic responses of the auditory system. Mathematical models of psychophysical relations, incorporating quantitative knowledge of physiological transformations by the peripheral auditory system. "
6.555[J] Biomedical Signal and Image Processing (New),6.555[J],"['6.041', '2.004', '6.003', '16.002', '18.085']","['16.456[J]', 'HST.582[J]']","Fundamentals of digital signal processing with emphasis on problems in biomedical research and clinical medicine. Basic principles and algorithms for processing both deterministic and random signals. Topics include data acquisition, imaging, filtering, coding, feature extraction, and modeling. Lab projects, performed in MATLAB, provide practical experience in processing physiological data, with examples from cardiology, speech processing, and medical imaging. Lectures cover signal processing topics relevant to the lab exercises, as well as background on the biological signals processed in the labs. Students taking graduate version complete additional assignments. "
6.556[J] Data Acquisition and Image Reconstruction in MRI,6.556[J],['6.011'],['HST.580[J]'],"Applies analysis of signals and noise in linear systems, sampling, and Fourier properties to magnetic resonance (MR) imaging acquisition and reconstruction. Provides adequate foundation for MR physics to enable study of RF excitation design, efficient Fourier sampling, parallel encoding, reconstruction of non-uniformly sampled data, and the impact of hardware imperfections on reconstruction performance. Surveys active areas of MR research. Assignments include Matlab-based work with real data. Includes visit to a scan site for human MR studies. "
6.557[J] Biomolecular Feedback Systems,6.557[J],"['7.012|7.013|7.014|7.015|7.016', '18.03']",['2.18[J]'],See description under subject 2.18[J]. 
"6.561[J] Fields, Forces, and Flows in Biological Systems",6.561[J],[],"['2.795[J]', '10.539[J]', '20.430[J]']",See description under subject 20.430[J]. 
6.580[J] Principles of Synthetic Biology,6.580[J],[],['20.305[J]'],See description under subject 20.305[J]. 
6.589[J] Principles of Synthetic Biology,6.589[J],[],['20.405[J]'],See description under subject 20.405[J]. 
6.602 Fundamentals of Photonics,6.602,"['2.71', '6.013', '8.07']",[],"Covers the fundamentals of optics and the interaction of light and matter, leading to devices such as light emitting diodes, optical amplifiers, and lasers. Topics include classical ray, wave, beam, and Fourier optics; Maxwell's electromagnetic waves; resonators; quantum theory of photons; light-matter interaction; laser amplification; lasers; and semiconductors optoelectronics. Students taking graduate version complete additional assignments. "
6.621 Fundamentals of Photonics,6.621,"['2.71', '6.013', '8.07']",[],"Covers the fundamentals of optics and the interaction of light and matter, leading to devices such as light emitting diodes, optical amplifiers, and lasers. Topics include classical ray, wave, beam, and Fourier optics; Maxwell's electromagnetic waves; resonators; quantum theory of photons; light-matter interaction; laser amplification; lasers; and semiconductors optoelectronics. Students taking graduate version complete additional assignments. "
6.630 Electromagnetics,6.630,"['8.02|8.021|8.022', '6.003']",[],"Explores electromagnetic phenomena in modern applications, including wireless and optical communications, circuits, computer interconnects and peripherals, microwave communications and radar, antennas, sensors, micro-electromechanical systems, and power generation and transmission. Fundamentals include quasistatic and dynamic solutions to Maxwell's equations; waves, radiation, and diffraction; coupling to media and structures; guided and unguided waves; modal expansions; resonance; acoustic analogs; and forces, power, and energy. "
6.631 Optics and Photonics,6.631,"['6.013', '8.07']",[],"Introduction to fundamental concepts and techniques of optics, photonics, and fiber optics. Review of Maxwell's equations, light propagation, and reflection from dielectrics mirrors and filters. Interferometers, filters, and optical imaging systems. Fresnel and Fraunhoffer diffraction theory. Propagation of Gaussian beams and laser resonator design. Optical waveguides and optical fibers. Optical waveguide and photonic devices. "
6.632 Electromagnetic Wave Theory,6.632,"['6.013', '6.630', '8.07']",[],"Solutions to Maxwell equations and physical interpretation. Topics include waves in media, equivalence principle, duality and complementarity, Huygens' principle, Fresnel and Fraunhofer diffraction, radiation and dyadic Green's functions, scattering, metamaterials, and plasmonics, mode theory, dielectric waveguides, and resonators. Examples deal with limiting cases of electromagnetic theory, multi-port elements, filters and antennas. Discusses current topics in microwave and photonic devices. "
6.634[J] Nonlinear Optics,6.634[J],"['6.013', '8.07']",['8.431[J]'],"Techniques of nonlinear optics with emphasis on fundamentals for research and engineering in optics, photonics, and spectroscopy. Electro optic modulators, harmonic generation, and frequency conversion devices. Nonlinear effects in optical fibers including self-phase modulation, nonlinear wave propagation, and solitons. Interaction of light with matter, laser operation, density matrix techniques, nonlinear spectroscopies, and femtosecond optics. "
"6.637 Optical Imaging Devices, and Systems",6.637,['6.003'],[],"Principles of operation and applications of optical imaging devices and systems (includes optical signal generation, transmission, detection, storage, processing and display). Topics include review of the basic properties of electromagnetic waves; coherence and interference; diffraction and holography; Fourier optics; coherent and incoherent imaging and signal processing systems; optical properties of materials; lasers and LEDs; electro-optic and acousto-optic light modulators; photorefractive and liquid-crystal light modulation; spatial light modulators and displays; near-eye and projection displays, holographic and other 3-D display schemes, photodetectors; 2-D and 3-D optical storage technologies; adaptive optical systems; role of optics in next-generation computers. Requires a research paper on a specific contemporary optical imaging topic. Recommended prerequisite: 8.03. "
"6.640 Electromagnetic Fields, Forces and Motion",6.640,"['8.02|8.021|8.022', '18.03']",[],"Study of electromagnetics and electromagnetic energy conversion leading to an understanding of devices, including electromagnetic sensors, actuators, motors and generators. Quasistatic Maxwell's equations and the Lorentz force law. Studies of the quasistatic fields and their sources through solutions of Poisson's and Laplace's equations. Boundary conditions and multi-region boundary-value problems. Steady-state conduction, polarization, and magnetization. Charge conservation and relaxation, and magnetic induction and diffusion. Extension to moving materials. Electric and magnetic forces and force densities derived from energy, and stress tensors. Extensive use of engineering examples. Students taking graduate version complete additional assignments. "
6.644 Advanced Topics in Applied Physics,6.644,[],[],Advanced study of topics in applied physics. Specific focus varies from year to year. Consult department for details. 
6.645 Advanced Topics in Applied Physics,6.645,[],[],Advanced study of topics in applied physics. Specific focus varies from year to year. Consult department for details. 
6.685 Electric Machines,6.685,"['6.061', '6.690']",[],"Treatment of electromechanical transducers, rotating and linear electric machines. Lumped-parameter electromechanics. Power flow using Poynting's theorem, force estimation using the Maxwell stress tensor and Principle of virtual work. Development of analytical techniques for predicting device characteristics: energy conversion density, efficiency; and of system interaction characteristics: regulation, stability, controllability, and response. Use of electric machines in drive systems. Problems taken from current research. "
6.690 Introduction to Electric Power Systems,6.690,"['6.002', '6.013']",[],"Electric circuit theory with application to power handling electric circuits. Modeling and behavior of electromechanical devices, including magnetic circuits, motors, and generators. Operational fundamentals of synchronous. Interconnection of generators and motors with electric power transmission and distribution circuits. Power generation, including alternative and sustainable sources. Incorporation of energy storage in power systems. Students taking graduate version complete additional assignments. "
"6.695[J] Engineering, Economics and Regulation of the Electric Power Sector",6.695[J],[],"['15.032[J]', 'IDS.505[J]']",See description under subject IDS.505[J]. 
6.701 Introduction to Nanoelectronics,6.701,['6.003'],[],"Transistors at the nanoscale. Quantization, wavefunctions, and Schrodinger's equation. Introduction to electronic properties of molecules, carbon nanotubes, and crystals. Energy band formation and the origin of metals, insulators and semiconductors. Ballistic transport, Ohm's law, ballistic versus traditional MOSFETs, fundamental limits to computation. "
6.717[J] Design and Fabrication of Microelectromechanical Systems,6.717[J],"['8.02|8.021|8.022', '2.003', '6.003']",['2.374[J]'],"Provides an introduction to microsystem design. Covers material properties, microfabrication technologies, structural behavior, sensing methods, electromechanical actuation, thermal actuation and control, multi-domain modeling, noise, and microsystem packaging. Applies microsystem modeling, and manufacturing principles to the design and analysis a variety of microscale sensors and actuators (e.g., optical MEMS, bioMEMS, and inertial sensors). Emphasizes modeling and simulation in the design process. Students taking the graduate version complete additional assignments. "
6.719 Nanoelectronics,6.719,['6.003'],[],"Meets with undergraduate subject 6.701, but requires the completion of additional/different homework assignments and or projects. See subject description under 6.701. "
6.720[J] Integrated Microelectronic Devices,6.720[J],"['3.42', '6.012']",['3.43[J]'],"Covers physics of microelectronic semiconductor devices for integrated circuit applications. Topics include semiconductor fundamentals, p-n junction, metal-oxide semiconductor structure, metal-semiconductor junction, MOS field-effect transistor, and bipolar junction transistor.  Emphasizes physical understanding of device operation through energy band diagrams and short-channel MOSFET device design and modern device scaling. Familiarity with MATLAB recommended. "
6.728 Applied Quantum and Statistical Physics,6.728,['18.06'],[],"Elementary quantum mechanics and statistical physics. Introduces applied quantum physics. Emphasizes experimental basis for quantum mechanics. Applies Schrodinger's equation to the free particle, tunneling, the harmonic oscillator, and hydrogen atom. Variational methods. Elementary statistical physics; Fermi-Dirac, Bose-Einstein, and Boltzmann distribution functions. Simple models for metals, semiconductors, and devices such as electron microscopes, scanning tunneling microscope, thermonic emitters, atomic force microscope, and more. Some familiarity with continuous time Fourier transforms recommended. "
6.730 Physics for Solid-State Applications,6.730,"['6.013', '6.728']",[],"Classical and quantum models of electrons and lattice vibrations in solids, emphasizing physical models for elastic properties, electronic transport, and heat capacity. Crystal lattices, electronic energy band structures, phonon dispersion relations, effective mass theorem, semiclassical equations of motion, electron scattering and semiconductor optical properties. Band structure and transport properties of selected semiconductors. Connection of quantum theory of solids with quasi-Fermi levels and Boltzmann transport used in device modeling. "
6.731 Semiconductor Optoelectronics: Theory and Design,6.731,"['6.012', '6.728']",[],"Focuses on the physics of the interaction of photons with semiconductor materials. Uses the band theory of solids to calculate the absorption and gain of semiconductor media; and uses rate equation formalism to develop the concepts of laser threshold, population inversion, and modulation response. Presents theory and design for photodetectors, solar cells, modulators, amplifiers, and lasers. Introduces noise models for semiconductor devices, and applications of optoelectronic devices to fiber optic communications. "
6.732 Physics of Solids,6.732,"['6.730', '8.231']",[],"Continuation of 6.730 emphasizing applications-related physical issues in solids. Topics include: electronic structure and energy band diagrams of semiconductors, metals, and insulators; Fermi surfaces; dynamics of electrons under electric and magnetic fields; classical diffusive transport phenomena such as electrical and thermal conduction and thermoelectric phenomena; quantum transport in tunneling and ballistic devices; optical properties of metals, semiconductors, and insulators; impurities and excitons; photon-lattice interactions; Kramers-Kronig relations; optoelectronic devices based on interband and intersubband transitions; magnetic properties of solids; exchange energy and magnetic ordering; magneto-oscillatory phenomena; quantum Hall effect; superconducting phenomena and simple models. "
"6.735, 6.736 Advanced Topics in Materials, Devices, and Nanotechnology","6.735, 6.736",[],[],"Advanced study of topics in materials, devices, and nanotechnology. Specific focus varies from year to year. "
6.774 Physics of Microfabrication: Front End Processing,6.774,['6.152'],[],"Presents advanced physical models and practical aspects of front-end microfabrication processes, such as oxidation, diffusion, ion implantation, chemical vapor deposition, atomic layer deposition, etching, and epitaxy. Covers topics relevant to CMOS, bipolar, and optoelectronic device fabrication, including high k gate dielectrics, gate etching, implant-damage enhanced diffusion, advanced metrology, stress effects on oxidation, non-planar and nanowire device fabrication, SiGe and fabrication of process-induced strained Si. Exposure to CMOS process integration concepts, and impacts of processing on device characteristics. Students use modern process simulation tools. "
